16,-12
16.153,-11.864
16.307,-11.73
16.462,-11.596
16.619,-11.464
16.777,-11.332
16.936,-11.201
17.097,-11.071
17.259,-10.942
17.423,-10.814
17.588,-10.687
17.755,-10.56
17.923,-10.434
18.093,-10.31
18.264,-10.186
18.436,-10.062
18.61,-9.9399
18.786,-9.8183
18.963,-9.6973
19.141,-9.5772
19.321,-9.4577
19.503,-9.3389
19.686,-9.2209
19.871,-9.1036
20.058,-8.9869
20.246,-8.8709
20.436,-8.7555
20.627,-8.6408
20.82,-8.5267
21.015,-8.4132
21.212,-8.3003
21.41,-8.188
21.61,-8.0763
21.811,-7.9652
22.015,-7.8547
22.22,-7.7447
22.426,-7.6353
22.635,-7.5264
22.845,-7.418
23.057,-7.3102
23.271,-7.2028
23.486,-7.0958
23.704,-6.9894
23.923,-6.8833
24.144,-6.7777
24.368,-6.6724
24.593,-6.5676
24.819,-6.4631
25.048,-6.3589
25.279,-6.2551
25.512,-6.1516
25.747,-6.0484
25.983,-5.9454
26.222,-5.8428
26.463,-5.7404
26.706,-5.6382
26.951,-5.5362
27.198,-5.4345
27.447,-5.3329
27.698,-5.2315
27.951,-5.1303
28.206,-5.0292
28.464,-4.9282
28.724,-4.8273
28.986,-4.7266
29.25,-4.6259
29.516,-4.5252
29.785,-4.4246
30.056,-4.324
30.329,-4.2234
30.604,-4.1228
30.882,-4.0222
31.161,-3.9216
31.444,-3.8208
31.728,-3.72
32.015,-3.6191
32.304,-3.5181
32.596,-3.4169
32.89,-3.3156
33.186,-3.2141
33.485,-3.1124
33.786,-3.0105
34.09,-2.9084
34.396,-2.806
34.704,-2.7033
35.015,-2.6003
35.329,-2.497
35.644,-2.3934
35.963,-2.2894
36.284,-2.185
36.607,-2.0803
36.933,-1.975
37.261,-1.8694
37.592,-1.7632
37.925,-1.6565
38.261,-1.5493
38.6,-1.4415
38.941,-1.3332
39.285,-1.2242
39.631,-1.1146
39.98,-1.0043
40.331,-0.89326
40.685,-0.78151
41.042,-0.669
41.401,-0.55568
41.762,-0.44153
42.127,-0.32651
42.494,-0.21059
42.863,-0.093728
43.235,0.02411
43.61,0.14296
43.987,0.26287
44.367,0.38386
44.75,0.50599
45.135,0.6293
45.523,0.75382
45.913,0.8796
46.306,1.0067
46.701,1.1351
47.099,1.265
47.5,1.3963
47.903,1.5291
48.309,1.6634
48.717,1.7994
49.128,1.937
49.541,2.0763
49.957,2.2174
50.376,2.3603
50.797,2.5051
51.22,2.6519
51.646,2.8007
52.074,2.9515
52.505,3.1045
52.938,3.2597
53.374,3.4172
53.812,3.5771
54.252,3.7394
54.694,3.9041
55.139,4.0715
55.587,4.2415
56.036,4.4143
56.488,4.5899
56.942,4.7684
57.398,4.9499
57.857,5.1345
58.317,5.3223
58.78,5.5134
59.245,5.7078
59.711,5.9057
60.18,6.1073
60.649,6.3127
61.119,6.522
61.591,6.7354
62.063,6.9529
62.537,7.1747
63.013,7.4009
63.489,7.6317
